x	y
1	-0.032636385
7.714285714	0.011877979
14.42857143	0.082115654
21.14285714	0.388582758
27.85714286	0.895373794
34.57142857	0.987009215
41.28571429	1.041766814
48	1.067939444
1	-0.048631305
7.714285714	0.016742182
14.42857143	0.086042041
21.14285714	0.437121817
27.85714286	0.943896066
34.57142857	0.973687722
41.28571429	0.977400181
48	0.955649028
1	0.018231444
7.714285714	0.02373944
14.42857143	0.1732281
21.14285714	0.418359167
27.85714286	0.917903992
34.57142857	1.031825046
41.28571429	0.944798481
48	1.039133887
