x	y
1	11.40652733
7.714285714	10.98954656
14.42857143	31.25125686
21.14285714	43.20570892
27.85714286	72.26386173
34.57142857	102.8
41.28571429	84.78589252
48	94.25169484
1	8.842406497
7.714285714	18.76806644
14.42857143	23.76636297
21.14285714	58.43229442
27.85714286	75.59411491
34.57142857	90.03474845
41.28571429	96.01242786
48	91.12143173
1	0
7.714285714	13.00126477
14.42857143	23.89204896
21.14285714	56.72362267
27.85714286	77.57870046
34.57142857	89.37865364
41.28571429	90.3235374
48	87.41975257
