x	y
0.001	1.048651892
0.003727594	0.672756647
0.013894955	0.867071684
0.051794747	0.613434609
0.193069773	0.401804419
0.719685673	-0.059797612
2.682695795	0.49894623
10	-0.01771742
0.001	0.961683036
0.003727594	0.872131425
0.013894955	0.866377235
0.051794747	0.840515531
0.193069773	0.37827846
0.719685673	0.17401963
2.682695795	-0.039116824
10	0.091590974
0.001	0.901463258
0.003727594	0.930905866
0.013894955	0.990073281
0.051794747	0.688656696
0.193069773	0.419177866
0.719685673	0.267576493
2.682695795	-0.028496468
10	-0.14541275
